blocks_file,start,dur,rest,mult_problemB,mult_options,stim_trial,mult_stim,type,ProblemSize,InterferenceLH,InterferenceLevel,mult_type,corrRESP,blocks_set.thisRepN,blocks_set.thisTrialN,blocks_set.thisN,blocks_set.thisIndex,TRIALS.thisRepN,TRIALS.thisTrialN,TRIALS.thisN,TRIALS.thisIndex,timer_loop.thisRepN,timer_loop.thisTrialN,timer_loop.thisN,timer_loop.thisIndex,WAIT_TEXT.started,WAIT_TEXT.stopped,scan_start_trigger.keys,scan_start_trigger.rt,scan_start_trigger.started,scan_start_trigger.stopped,MAIN_SCREEN.started,MAIN_SCREEN.stopped,Block_Text.started,Block_Text.stopped,asterisk500ms.started,asterisk500ms.stopped,mult_question_text.started,mult_question_text.stopped,equal_text.started,equal_text.stopped,blank250_text.started,blank250_text.stopped,Mult_OPTION.started,Mult_OPTION.stopped,Mult_YN.started,Mult_YN.stopped,Mult_Resp.keys,Mult_Resp.corr,Mult_Resp.rt,Mult_Resp.started,Mult_Resp.stopped,Strategy_Q.started,Strategy_Q.stopped,Strategy_Option.started,Strategy_Option.stopped,Strategy_RESP.keys,Strategy_RESP.rt,Strategy_RESP.started,Strategy_RESP.stopped,jitters.started,jitters.stopped,resting_text.started,resting_text.stopped,countdown_timer.started,countdown_timer.stopped,participant,Date of birth (DD/MM/YEAR),gender,Testing Date (DD/MM/YEAR),session,handedness,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,49.73736720199986,None,s,31.932508176000056,49.73736720199986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-07,06/10/2001,1: Male,21/09/2023,001,1: right,2023_Sep_21_1802,[FINAL]_fmri_multiplication,2021.2.3,60.03561168403355
block1.xlsx,10,7.5,15.3,6 x 6,36,13,6 x 6 = 36,large-sized_low-interference,large-sized,low-interference,4,CorrectRESP,a,0,0,0,0,0,0,0,0,,,,,,,,,,,81.69292224,None,86.71775196899989,None,96.72193907799988,None,97.19898009200006,None,99.19743369,None,99.94745303,None,100.21147991399994,None,100.21147991399994,None,d,0,0.7683507120000286,100.21147991399994,None,100.99771266799985,None,100.99771266799985,None,d,0.8061196459998428,100.99771266799985,None,101.8305358319999,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,001,1: right,2023_Sep_21_1802,[FINAL]_fmri_multiplication,2021.2.3,60.03561168403355
block1.xlsx,32.8,7.5,2.5,2 x 9,18,2,2 x 9 = 18,small-sized_low-interference,small-sized,low-interference,7,CorrectRESP,a,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,117.13112248100015,None,117.63386280299983,None,119.64788336999982,None,120.3978647959998,None,120.6499475820001,None,120.6499475820001,None,d,0,0.8657495079996806,120.6499475820001,None,121.54779769200013,None,121.54779769200013,None,d,0.2959752579999986,121.54779769200013,None,121.86411317600005,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,001,1: right,2023_Sep_21_1802,[FINAL]_fmri_multiplication,2021.2.3,60.03561168403355
block1.xlsx,42.8,7.5,3.8,8 x 4,28,24,8 x 4 = 28,large-sized_high-interference,large-sized,high-interference,25,IncorrectRESP,d,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,124.36451519799994,None,124.86602913199977,None,126.88080674599996,None,127.63073781000003,None,127.88048931699996,None,127.88048931699996,None,a,0,1.1792555739998534,127.88048931699996,None,129.08044814200002,None,129.08044814200002,None,a,0.29946749900000214,129.08044814200002,None,129.39701864200015,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,001,1: right,2023_Sep_21_1802,[FINAL]_fmri_multiplication,2021.2.3,60.03561168403355
block1.xlsx,54.1,7.5,5.5,7 x 2,14,1,7 x 2 = 14,small-sized_low-interference,small-sized,low-interference,4,CorrectRESP,a,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,133.19740447699996,None,133.69891242199992,None,135.7141555,None,136.46410568400006,None,136.7140119569999,None,136.7140119569999,None,d,0,1.1218354700004056,136.7140119569999,None,137.86411214100008,None,137.86411214100008,None,d,0.7317367219998232,137.86411214100008,None,138.61405306100005,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,001,1: right,2023_Sep_21_1802,[FINAL]_fmri_multiplication,2021.2.3,60.03561168403355
block1.xlsx,67.1,7.5,3,7 x 7,56,18,7 x 7 = 56,large-sized_low-interference,large-sized,low-interference,7,IncorrectRESP,d,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,144.11403139799995,None,144.61351681399992,None,146.61418074999983,None,147.36420979600007,None,147.6152232559998,None,147.6152232559998,None,a,0,1.0126850810001997,147.6152232559998,None,148.64719040299997,None,148.64719040299997,None,d,0.4685405019999962,148.64719040299997,None,149.1475317,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,001,1: right,2023_Sep_21_1802,[FINAL]_fmri_multiplication,2021.2.3,60.03561168403355
block1.xlsx,77.6,7.5,2.1,3 x 4,12,9,3 x 4 = 12,small-sized_high-interference,small-sized,high-interference,10,CorrectRESP,a,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,152.14473887999975,None,152.64974899599974,None,154.66450480499998,None,155.41448001900017,None,155.6648854,None,155.6648854,None,d,0,0.9149268010000924,155.6648854,None,156.59761752199984,None,156.59761752199984,None,d,0.4941537179997795,156.59761752199984,None,157.11408694700003,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,001,1: right,2023_Sep_21_1802,[FINAL]_fmri_multiplication,2021.2.3,60.03561168403355
block1.xlsx,87.2,7.5,5,8 x 7,63,22,8 x 7 = 63,large-sized_high-interference,large-sized,high-interference,9,IncorrectRESP,d,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,159.21423282299975,None,159.71493080899972,None,161.71417737299998,None,162.4642146,None,162.71365873900004,None,162.71365873900004,None,a,0,1.1781235660000675,162.71365873900004,None,163.91360265999992,None,163.91360265999992,None,d,0.3701112670000839,163.91360265999992,None,164.31418081999982,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,001,1: right,2023_Sep_21_1802,[FINAL]_fmri_multiplication,2021.2.3,60.03561168403355
block1.xlsx,99.7,7.5,3,5 x 5,25,3,5 x 5 = 25,small-sized_low-interference,small-sized,low-interference,3,CorrectRESP,a,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,169.31407991800006,None,169.81431302600004,None,171.81385846500007,None,172.56406270800017,None,172.8149498580001,None,172.8149498580001,None,d,0,0.6447601520003445,172.8149498580001,None,173.4803286629999,None,173.4803286629999,None,d,0.3554847229997904,173.4803286629999,None,173.8641244129999,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,001,1: right,2023_Sep_21_1802,[FINAL]_fmri_multiplication,2021.2.3,60.03561168403355
block1.xlsx,110.2,7.5,6.5,6 x 4,28,10,6 x 4 = 28,small-sized_high-interference,small-sized,high-interference,12,IncorrectRESP,d,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,176.86364679100006,None,177.36386184699995,None,179.36409393999975,None,180.1139592049999,None,180.36416807499972,None,180.36416807499972,None,a,0,1.183549005000259,180.36416807499972,None,181.58061903899988,None,181.58061903899988,None,d,0.33512079399997674,181.58061903899988,None,181.9472200360001,None,,,,,sub-07,06/10/2001,1: Male,21/09/2023,001,1: right,2023_Sep_21_1802,[FINAL]_fmri_multiplication,2021.2.3,60.03561168403355
