blocks_file,start,dur,rest,mult_problemB,mult_options,stim_trial,mult_stim,type,ProblemSize,InterferenceLH,InterferenceLevel,mult_type,corrRESP,blocks_set.thisRepN,blocks_set.thisTrialN,blocks_set.thisN,blocks_set.thisIndex,TRIALS.thisRepN,TRIALS.thisTrialN,TRIALS.thisN,TRIALS.thisIndex,timer_loop.thisRepN,timer_loop.thisTrialN,timer_loop.thisN,timer_loop.thisIndex,WAIT_TEXT.started,WAIT_TEXT.stopped,scan_start_trigger.keys,scan_start_trigger.rt,scan_start_trigger.started,scan_start_trigger.stopped,MAIN_SCREEN.started,MAIN_SCREEN.stopped,Block_Text.started,Block_Text.stopped,asterisk500ms.started,asterisk500ms.stopped,mult_question_text.started,mult_question_text.stopped,equal_text.started,equal_text.stopped,blank250_text.started,blank250_text.stopped,Mult_OPTION.started,Mult_OPTION.stopped,Mult_YN.started,Mult_YN.stopped,Mult_Resp.keys,Mult_Resp.corr,Mult_Resp.rt,Mult_Resp.started,Mult_Resp.stopped,Strategy_Q.started,Strategy_Q.stopped,Strategy_Option.started,Strategy_Option.stopped,Strategy_RESP.keys,Strategy_RESP.rt,Strategy_RESP.started,Strategy_RESP.stopped,jitters.started,jitters.stopped,resting_text.started,resting_text.stopped,countdown_timer.started,countdown_timer.stopped,participant,Date of birth (DD/MM/YEAR),gender,Testing Date (DD/MM/YEAR),session,handedness,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,81.70420214700061,None,s,33.54436906100091,81.70420214700061,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-11,06/12/2002,2: Female,15/07/2023,001,1: right,2023_Jul_15_1333,[FINAL]_fmri_multiplication,2021.2.3,60.0668164
block1.xlsx,10,7.5,15.3,6 x 6,36,13,6 x 6 = 36,large-sized_low-interference,large-sized,low-interference,4,CorrectRESP,a,0,0,0,0,0,0,0,0,,,,,,,,,,,115.2746725729994,None,120.29620986500231,None,130.31939575900105,None,130.79427946000214,None,132.77533898399997,None,133.5253792020012,None,133.77799870400122,None,133.77799870400122,None,d,0,0.9030749849989661,133.77799870400122,None,134.70925484500185,None,134.70925484500185,None,d,1.0757535449993156,134.70925484500185,None,135.8081342120022,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,001,1: right,2023_Jul_15_1333,[FINAL]_fmri_multiplication,2021.2.3,60.0668164
block1.xlsx,32.8,7.5,2.5,2 x 9,18,2,2 x 9 = 18,small-sized_low-interference,small-sized,low-interference,7,CorrectRESP,a,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,151.10780730799888,None,151.6107190690018,None,153.62485080999977,None,154.3748903500018,None,154.6390086350002,None,154.6390086350002,None,d,0,0.6579515400007949,154.6390086350002,None,155.3241568150006,None,155.3241568150006,None,d,0.5249137190003239,155.3241568150006,None,155.87471551600174,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,001,1: right,2023_Jul_15_1333,[FINAL]_fmri_multiplication,2021.2.3,60.0668164
block1.xlsx,42.8,7.5,3.8,8 x 4,28,24,8 x 4 = 28,large-sized_high-interference,large-sized,high-interference,25,IncorrectRESP,d,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,158.3744169019992,None,158.8765903,None,160.89153928499945,None,161.6416406850003,None,161.89156513700073,None,161.89156513700073,None,a,0,0.8454044810023333,161.89156513700073,None,162.75789966899902,None,162.75789966899902,None,a,0.9631936949990632,162.75789966899902,None,163.7413171070002,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,001,1: right,2023_Jul_15_1333,[FINAL]_fmri_multiplication,2021.2.3,60.0668164
block1.xlsx,54.1,7.5,5.5,7 x 2,14,1,7 x 2 = 14,small-sized_low-interference,small-sized,low-interference,4,CorrectRESP,a,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,167.54199022600005,None,168.0560465689996,None,170.0584678,None,170.8087581740001,None,171.05862135400093,None,171.05862135400093,None,d,0,0.6783750659997168,171.05862135400093,None,171.75823876600043,None,171.75823876600043,None,d,0.6267210240002896,171.75823876600043,None,172.4082395459991,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,001,1: right,2023_Jul_15_1333,[FINAL]_fmri_multiplication,2021.2.3,60.0668164
block1.xlsx,67.1,7.5,3,7 x 7,56,18,7 x 7 = 56,large-sized_low-interference,large-sized,low-interference,7,IncorrectRESP,d,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,177.9083348540007,None,178.41145043399956,None,180.42491463899933,None,181.1745933029997,None,181.42647605100137,None,181.42647605100137,None,d,1,1.2306863810008508,181.42647605100137,None,182.6746743069998,None,182.6746743069998,None,a,0.694391828,182.6746743069998,None,183.39110672300012,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,001,1: right,2023_Jul_15_1333,[FINAL]_fmri_multiplication,2021.2.3,60.0668164
block1.xlsx,77.6,7.5,2.1,3 x 4,12,9,3 x 4 = 12,small-sized_high-interference,small-sized,high-interference,10,CorrectRESP,a,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,186.39171456500117,None,186.8911159140007,None,188.89162636400215,None,189.6415776069989,None,189.8914748440002,None,189.8914748440002,None,d,0,0.6935243970001466,189.8914748440002,None,190.60763967499952,None,190.60763967499952,None,d,0.48943271200187155,190.60763967499952,None,191.12447780900038,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,001,1: right,2023_Jul_15_1333,[FINAL]_fmri_multiplication,2021.2.3,60.0668164
block1.xlsx,87.2,7.5,5,8 x 7,63,22,8 x 7 = 63,large-sized_high-interference,large-sized,high-interference,9,IncorrectRESP,d,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,193.22438816100112,None,193.72505003200058,None,195.7408368590004,None,196.4915438,None,196.74186675199962,None,196.74186675199962,None,a,0,1.2671250130006229,196.74186675199962,None,198.04131730600056,None,198.04131730600056,None,a,0.7836437119985931,198.04131730600056,None,198.85798853099914,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,001,1: right,2023_Jul_15_1333,[FINAL]_fmri_multiplication,2021.2.3,60.0668164
block1.xlsx,99.7,7.5,3,5 x 5,25,3,5 x 5 = 25,small-sized_low-interference,small-sized,low-interference,3,CorrectRESP,a,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,203.85588201599967,None,204.35028764600065,None,206.3577932750013,None,207.1086666930023,None,207.3588752450014,None,207.3588752450014,None,d,0,0.7381897590021254,207.3588752450014,None,208.12489422699946,None,208.12489422699946,None,d,0.5081748070006142,208.12489422699946,None,208.65844991799895,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,001,1: right,2023_Jul_15_1333,[FINAL]_fmri_multiplication,2021.2.3,60.0668164
block1.xlsx,110.2,7.5,6.5,6 x 4,28,10,6 x 4 = 28,small-sized_high-interference,small-sized,high-interference,12,IncorrectRESP,d,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,211.65834148100112,None,212.15796152999974,None,214.15810921999946,None,214.9082799780008,None,215.15813954999976,None,215.15813954999976,None,a,0,1.8348496910002723,215.15813954999976,None,217.02499302200158,None,217.02499302200158,None,a,0.6161240959991119,217.02499302200158,None,217.6584658440006,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,001,1: right,2023_Jul_15_1333,[FINAL]_fmri_multiplication,2021.2.3,60.0668164
