blocks_file,start,dur,rest,mult_problemB,mult_options,stim_trial,mult_stim,type,ProblemSize,InterferenceLH,InterferenceLevel,mult_type,corrRESP,blocks_set.thisRepN,blocks_set.thisTrialN,blocks_set.thisN,blocks_set.thisIndex,TRIALS.thisRepN,TRIALS.thisTrialN,TRIALS.thisN,TRIALS.thisIndex,timer_loop.thisRepN,timer_loop.thisTrialN,timer_loop.thisN,timer_loop.thisIndex,WAIT_TEXT.started,WAIT_TEXT.stopped,scan_start_trigger.keys,scan_start_trigger.rt,scan_start_trigger.started,scan_start_trigger.stopped,MAIN_SCREEN.started,MAIN_SCREEN.stopped,Block_Text.started,Block_Text.stopped,asterisk500ms.started,asterisk500ms.stopped,mult_question_text.started,mult_question_text.stopped,equal_text.started,equal_text.stopped,blank250_text.started,blank250_text.stopped,Mult_OPTION.started,Mult_OPTION.stopped,Mult_YN.started,Mult_YN.stopped,Mult_Resp.keys,Mult_Resp.corr,Mult_Resp.rt,Mult_Resp.started,Mult_Resp.stopped,Strategy_Q.started,Strategy_Q.stopped,Strategy_Option.started,Strategy_Option.stopped,Strategy_RESP.keys,Strategy_RESP.rt,Strategy_RESP.started,Strategy_RESP.stopped,jitters.started,jitters.stopped,resting_text.started,resting_text.stopped,countdown_timer.started,countdown_timer.stopped,participant,Date of birth (DD/MM/YEAR),gender,Testing Date (DD/MM/YEAR),session,handedness,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,,50.08823539399964,None,s,18.776877033000346,50.08823539399964,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-11,06/12/2002,2: Female,15/07/2023,002,1: right,2023_Jul_15_1401,[FINAL]_fmri_multiplication,2021.2.3,59.94412955276247
block5.xlsx,10,7.5,4.6,3 x 6,18,7,6 x 3 = 18,small-sized_high-interference,small-sized,high-interference,8,CorrectRESP,a,0,0,0,0,0,0,0,0,,,,,,,,,,,68.89772351099964,None,73.93478274899826,None,83.93525799399868,None,84.41910039999857,None,86.41243718999976,None,87.16212595599791,None,87.41320276,None,87.41320276,None,d,0,0.4430920900013007,87.41320276,None,87.87861454299855,None,87.87861454299855,None,d,0.22558165800001007,87.87861454299855,None,88.12838065599863,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,002,1: right,2023_Jul_15_1401,[FINAL]_fmri_multiplication,2021.2.3,59.94412955276247
block5.xlsx,22.1,7.5,7,9 x 9,72,16,9 x 9 = 72,large-sized_low-interference,large-sized,low-interference,6,IncorrectRESP,d,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,92.72834923299888,None,93.22974418499871,None,95.22882308299813,None,95.97863898799915,None,96.23132111299856,None,96.23132111299856,None,a,0,0.897049554,96.23132111299856,None,97.14554998300082,None,97.14554998300082,None,a,0.5107506860003923,97.14554998300082,None,97.67842491699776,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,002,1: right,2023_Jul_15_1401,[FINAL]_fmri_multiplication,2021.2.3,59.94412955276247
block5.xlsx,36.6,7.5,4.4,2 x 6,12,6,6 x 2 = 12,small-sized_low-interference,small-sized,low-interference,3,CorrectRESP,a,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,104.67883515399808,None,105.17945775499902,None,107.17924182199931,None,107.9291626339982,None,108.17937419599912,None,108.17937419599912,None,d,0,0.3569590219995007,108.17937419599912,None,108.56170722599927,None,108.56170722599927,None,d,0.1986405809984717,108.56170722599927,None,108.77887573399858,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,002,1: right,2023_Jul_15_1401,[FINAL]_fmri_multiplication,2021.2.3,59.94412955276247
block5.xlsx,48.5,7.5,9.6,8 x 3,24,12,3 x 8 = 24,small-sized_high-interference,small-sized,high-interference,13,CorrectRESP,a,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,113.17913743000099,None,113.68184798099901,None,115.69563984300112,None,116.44583030099966,None,116.69570236099753,None,116.69570236099753,None,d,0,0.40051647200016305,116.69570236099753,None,117.12877160100106,None,117.12877160100106,None,d,0.1673940410000796,117.12877160100106,None,117.32892693100075,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,002,1: right,2023_Jul_15_1401,[FINAL]_fmri_multiplication,2021.2.3,59.94412955276247
block5.xlsx,65.6,7.5,5.4,5 x 5,30,3,5 x 5 = 30,small-sized_low-interference,small-sized,low-interference,3,IncorrectRESP,d,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,126.92827850399772,None,127.42982647999816,None,129.42876638400048,None,130.1787615539979,None,130.43034095199982,None,130.43034095199982,None,a,0,0.6019694790011272,130.43034095199982,None,131.0616538789982,None,131.0616538789982,None,d,0.17856545600079698,131.0616538789982,None,131.2609780849998,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,002,1: right,2023_Jul_15_1401,[FINAL]_fmri_multiplication,2021.2.3,59.94412955276247
block5.xlsx,78.5,7.5,7.7,3 x 9,27,19,9 x 3 = 27,large-sized_high-interference,large-sized,high-interference,9,CorrectRESP,a,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,136.6624979,None,137.16241486500076,None,139.1599431350005,None,139.91242084499754,None,140.16302901299787,None,140.16302901299787,None,d,0,0.46122755199758103,140.16302901299787,None,140.64541295299932,None,140.64541295299932,None,d,0.1788403489990742,140.64541295299932,None,140.84542761299963,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,002,1: right,2023_Jul_15_1401,[FINAL]_fmri_multiplication,2021.2.3,59.94412955276247
block5.xlsx,93.7,7.5,3.5,2 x 8,18,5,8 x 2 = 18,small-sized_low-interference,small-sized,low-interference,7,IncorrectRESP,d,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,148.54536678300065,None,149.04537878599876,None,151.04608567000105,None,151.79549744199903,None,152.04537238400007,None,152.04537238400007,None,a,0,0.618819096,152.04537238400007,None,152.69558144999974,None,152.69558144999974,None,d,0.088695884,152.69558144999974,None,152.81219222199798,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,002,1: right,2023_Jul_15_1401,[FINAL]_fmri_multiplication,2021.2.3,59.94412955276247
block5.xlsx,104.7,7.5,6.4,7 x 7,49,18,7 x 7 = 49,large-sized_low-interference,large-sized,low-interference,7,CorrectRESP,a,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,156.31203471099798,None,156.81198775699886,None,158.8121587809983,None,159.56208056299874,None,159.81198316299924,None,159.81198316299924,None,d,0,1.1563493749999907,159.81198316299924,None,160.99541855400093,None,160.99541855400093,None,d,0.18087368800115655,160.99541855400093,None,161.19503933899978,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,002,1: right,2023_Jul_15_1401,[FINAL]_fmri_multiplication,2021.2.3,59.94412955276247
block5.xlsx,118.6,7.5,3.2,8 x 5,45,21,5 x 8 = 45,large-sized_high-interference,large-sized,high-interference,9,IncorrectRESP,d,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,167.5953413089992,None,168.09525662599845,None,170.09576365199973,None,170.84555755600013,None,171.09552403999987,None,171.09552403999987,None,a,0,1.1447584739980812,171.09552403999987,None,172.26209131200085,None,172.26209131200085,None,d,0.13019434200032265,172.26209131200085,None,172.41201655799887,None,,,,,sub-11,06/12/2002,2: Female,15/07/2023,002,1: right,2023_Jul_15_1401,[FINAL]_fmri_multiplication,2021.2.3,59.94412955276247
